hostname,site,serial_number,division,instrument_type,lab_number,ip_address,ssh_username,ssh_password,source_location,owner_name,owner_contact,configuration_details
Device1,SiteA,12345ABC,Division1,TypeA,Lab001,192.168.1.1,user1,password1,/mnt/share/device1,John Doe,johndoe@example.com,This is a test configuration for device 1.
Device2,SiteB,12345DEF,Division2,TypeB,Lab002,192.168.1.2,user2,password2,/mnt/share/device2,Jane Smith,janesmith@example.com,This is a test configuration for device 2.
Device3,SiteC,12345GHI,Division1,TypeA,Lab003,192.168.1.3,user3,password3,/mnt/share/device3,Jim Brown,jimbrown@example.com,This is a test configuration for device 3.
Device4,SiteD,12345JKL,Division3,TypeC,Lab004,192.168.1.4,user4,password4,/mnt/share/device4,Alice Johnson,alicej@example.com,This is a test configuration for device 4.
Device5,SiteA,12345MNO,Division2,TypeB,Lab005,192.168.1.5,user5,password5,/mnt/share/device5,Bob Martin,bobm@example.com,This is a test configuration for device 5.
Device6,SiteB,12345PQR,Division3,TypeC,Lab006,192.168.1.6,user6,password6,/mnt/share/device6,Eve Adams,evea@example.com,This is a test configuration for device 6.
Device7,SiteC,12345STU,Division1,TypeA,Lab007,192.168.1.7,user7,password7,/mnt/share/device7,Charlie Davis,charlied@example.com,This is a test configuration for device 7.
Device8,SiteD,12345VWX,Division2,TypeB,Lab008,192.168.1.8,user8,password8,/mnt/share/device8,David Harris,davidh@example.com,This is a test configuration for device 8.
Device9,SiteA,12345YZA,Division3,TypeC,Lab009,192.168.1.9,user9,password9,/mnt/share/device9,Fiona Green,fionag@example.com,This is a test configuration for device 9.
Device10,SiteB,12345BCD,Division1,TypeA,Lab010,192.168.1.10,user10,password10,/mnt/share/device10,George King,georgek@example.com,This is a test configuration for device 10.
